Está satisfeito com a ferramenta DreamShaper?;Quais são os seus 3 aspectos preferidos da ferramenta? Aspecto visual;Quais são os seus 3 aspectos preferidos da ferramenta? Navegação na ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta? Modelo de negócios;Quais são os seus 3 aspectos preferidos da ferramenta? Indicações de interface;Quais são os seus 3 aspectos preferidos da ferramenta? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta? Outro (especifique);E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas; E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outro (especifique);Quanto aprendeu com a DreamShaper?
Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;Aprendi alguma coisa
Satisfeito;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
Muito Satisfeito;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;;;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi alguma coisa
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Aprendi alguma coisa
Satisfeito;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;Aspecto visual;;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;;;;;;Modelo de negócios;;;;Gestão de projectos;;Estrutura e funcionalidade;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;Aprendi bastante
Muito Satisfeito;Aspecto visual;;;;;Modelo de negócios;;;;;;Organização e estruturação de todo um modelo de negócios.;;;;Exemplos;;;;Mural de equipa;;;Acesso a recursos externos;Para quem não tem formação na área empresarial falta explicar alguns dos valores das projecções dos investimentos.;Aprendi bastante
Muito insatisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Aprendi alguma coisa
Muito insatisfeito;;Navegação na ferramenta;Perguntas;;Vídeos;;;;;;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;"Não tenho indicação nenhuma a apontar neste aspecto. Os 3 aspectos selecionados não correspondem à realidade. Apenas não me deixava avançar se não seleccionassse, apesar de ter já preenchido o campo ""outros""";Aprendi imenso!
