Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os aspectos preferidos da ferramenta? Aspecto Visual;Quais são os aspectos preferidos da ferramenta? Navegação na ferramenta;Quais são os aspectos preferidos da ferramenta? Perguntas;Quais são os aspectos preferidos da ferramenta? Exemplos;Quais são os aspectos preferidos da ferramenta? Videos;Quais são os aspectos preferidos da ferramenta? Modelo de Negócio;Quais são os aspectos preferidos da ferramenta? Indicações de Interface;Quais são os aspectos preferidos da ferramenta? Mural da equipa;Quais são os aspectos preferidos da ferramenta? Gestão da Equipa;Quais são os aspectos preferidos da ferramenta? Gestão de Projectos;Quais são os aspectos preferidos da ferramenta? Outro (especifique);;E quais são os 3 aspectos que menos gosta? Aspecto Visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Videos;E quais são os 3 aspectos que menos gosta? Modelo de Negócio;E quais são os 3 aspectos que menos gosta? Indicações de Interface;E quais são os 3 aspectos que menos gosta? Mural da equipa;E quais são os 3 aspectos que menos gosta? Gestão da Equipa;E quais são os 3 aspectos que menos gosta? Gestão de Projectos;E quais são os 3 aspectos que menos gosta? Outro (especifique);;Quanto aprendeu com a DreamShaper?;;Em que etapa do concurso sentiu mais dificuldade?
3;Aspecto Visual;;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;;Exemplos;;;;;Gestão da Equipa;;;;Bastante;;Etapa 3
4;Aspecto Visual;Navegação na ferramenta;;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;;;;Exemplos;;;Indicações de Interface;Mural da equipa;;;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;Exemplos;Videos;;;;;;;;Aspecto Visual;;;;;;;;;;;;Imenso;;Etapa 3
3;Aspecto Visual;Navegação na ferramenta;;;Videos;;Indicações de Interface;;;;;;;;Perguntas;Exemplos;;Modelo de Negócio;;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;Bastante;;Etapa 2
4;;;;;;Modelo de Negócio;;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;nenhum;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Videos;;;;;;;;;;;;;;;;;;Nada em especial.;;Bastante;;Etapa 4
2;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de Projectos;;;;;;Exemplos;;;;Mural da equipa;Gestão da Equipa;;;;Pouco;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
3;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;Gestão de Projectos;;;;;Perguntas;;;;;;;;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
3;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;;Gestão de Projectos;;;Alguma coisa;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Aspecto Visual;;;;Videos;Modelo de Negócio;;;;;;;;Navegação na ferramenta;;;;;;;;;;;Bastante;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;;;;;Nenhum;;Bastante;;Etapa 2
4;;Navegação na ferramenta;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;;;;Indicações de Interface;;;;;;Bastante;;Etapa 3
4;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;;;;;;;;;;;;;;Nenhum;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
1;;;;;;;;Mural da equipa;;;;;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;Nada;;Etapa 4
4;Aspecto Visual;;Perguntas;Exemplos;;Modelo de Negócio;;;;;;;;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;Imenso;;Etapa 4
3;;;Perguntas;Exemplos;;;;;;Gestão de Projectos;;;;;;;;;;;Gestão da Equipa;;Nem todas as funcionalidades estão disponíveis no iPad;;Bastante;;Etapa 2
