Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os aspectos preferidos da ferramenta? Aspecto Visual;Quais são os aspectos preferidos da ferramenta? Navegação na ferramenta;Quais são os aspectos preferidos da ferramenta?Perguntas;Quais são os aspectos preferidos da ferramenta? Exemplos;Quais são os aspectos preferidos da ferramenta? Videos;Quais são os aspectos preferidos da ferramenta? Modelo de Negócio;Quais são os aspectos preferidos da ferramenta? Indicações de Interface;Quais são os aspectos preferidos da ferramenta? Mural da equipa;Quais são os aspectos preferidos da ferramenta? Gestão da Equipa;Quais são os aspectos preferidos da ferramenta? Gestão de Projectos;Quais são os aspectos preferidos da ferramenta? Outro (especifique);E quais são os 3 aspectos que menos gosta? Aspecto Visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Videos;E quais são os 3 aspectos que menos gosta? Modelo de Negócio;E quais são os 3 aspectos que menos gosta? Indicações de Interface;E quais são os 3 aspectos que menos gosta? Mural da equipa;E quais são os 3 aspectos que menos gosta? Gestão da Equipa;E quais são os 3 aspectos que menos gosta? Gestão de Projectos;E quais são os 3 aspectos que menos gosta? Outro (especifique);Quanto aprendeu com a DreamShaper?
4;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;;;;;Perguntas;;;;;;;;;Imenso
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Videos;;;;;;;;;;;;Modelo de Negócio;;;;Gestão de Projectos;Falta de apoio de um gestor.;Alguma coisa
3;;;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;;Modelo de Negócio;;;;Gestão de Projectos;Os detalhes associados ao investimento, relativamente a custos fixos e custos variáveis;Imenso
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Videos;Modelo de Negócio;Indicações de Interface;;Gestão da Equipa;Gestão de Projectos;;Aspecto Visual;;Perguntas;;;;Indicações de Interface;;;;;Alguma coisa
3;;;;Exemplos;Videos;;;;;;;;Navegação na ferramenta;;;;;;Mural da equipa;;;não tem a funcionalidade de imprimir a informação carregada;Imenso
4;Aspecto Visual;;;;Videos;Modelo de Negócio;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;Mural da equipa;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;Gestão de Projectos;;;Navegação na ferramenta;;;;;;;;;;Alguma coisa
3;Aspecto Visual;;;;Videos;;;;;;;;;;;;Modelo de Negócio;;;;;Entrevista impatia;Alguma coisa
4;;;;;;;;;Gestão da Equipa;;;;;;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;;;;;;Falta de apoio pontual ao nosso Projeto.;Alguma coisa
4;;;;;Videos;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;;Exemplos;;;;Mural da equipa;;;;Bastante
1;;;;;;;;;;;acho uma seca .;;;;;;;;;;;muita conversa .;Alguma coisa
4;;;Perguntas;Exemplos;Videos;Modelo de Negócio;;;;;;Aspecto Visual;;;;;;Indicações de Interface;;;;A minha falta de prática em navegar nas plataformas;Bastante
2;;;Perguntas;;;Modelo de Negócio;;;;Gestão de Projectos;;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Alguma coisa
3;;Navegação na ferramenta;Perguntas;;;Modelo de Negócio;;;;;;Aspecto Visual;;;;;;;Mural da equipa;Gestão da Equipa;;;Alguma coisa
2;Aspecto Visual;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;;Perguntas;;;;;;;Gestão de Projectos;Falta de alerta sobre prazos;Alguma coisa
4;Aspecto Visual;;;;Videos;;;;;;;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de Projectos;;Bastante
2;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;;Perguntas;Exemplos;;Modelo de Negócio;;;;;;Pouco
3;;Navegação na ferramenta;;Exemplos;Videos;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;;;dificuldade de entender termos;Bastante
4;;Navegação na ferramenta;Perguntas;;;Modelo de Negócio;;;;;;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;;;Bastante
3;;;;Exemplos;;Modelo de Negócio;Indicações de Interface;;;;;;Navegação na ferramenta;Perguntas;;;;;;;;de vez em quando vem abaixo, não grava o que escrevemos e obriga a escrever de novo tudo;Alguma coisa
3;;Navegação na ferramenta;;Exemplos;;;;;;;;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;;;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;Navegação na ferramenta;;Exemplos;;;;;;;;Imenso
4;;Navegação na ferramenta;;;Videos;;;;;Gestão de Projectos;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;Encontrar facilmente os temas;Imenso
4;;;Perguntas;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;Navegação na ferramenta;;Exemplos;;;;;;;Tradução do idioma;Imenso
3;;;Perguntas;Exemplos;;Modelo de Negócio;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;Gestão de Projectos;;;;;Exemplos;;;Indicações de Interface;Mural da equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Videos;;;;Gestão da Equipa;;;;;;;;;Indicações de Interface;Mural da equipa;;;Gostei de tudo....;Bastante
