Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
4;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;;Navegação na ferramenta;;;;;;;;Gestão de projectos;O local onde mostra o progresso do projeto não é claro;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;Perguntas;;;;;;;;;;;;Exemplos;;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;Bastante
4;;;Perguntas;;Vídeos;;Indicações de Interface;;;;;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;Alguma coisa
4;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;Gestão de projectos;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
4;Aspecto Visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;Vídeos;;;;;;;Bastante
4;;;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;Perguntas;;;;Indicações de Interface;;;;;Bastante
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;Bastante
3;;Navegação na ferramenta;Perguntas;;;;;;;Gestão de projectos;;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;Alguma coisa
4;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;;Perguntas;Exemplos;;;;;;;N/A;Alguma coisa
3;;;;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de projectos;;Alguma coisa
4;;Navegação na ferramenta;;;Vídeos;;;Mural de equipa;;;;Aspeto Visual;;;Exemplos;;;;;;Gestão de projectos;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;;;;;;Gestão de projectos;;Alguma coisa
4;;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;;;;;;Aspeto Visual;;;;;;;;Gestão de equipa;;não tenho aspectos negativos;Imenso
4;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;Aspeto Visual;;;;Vídeos;;;Mural de equipa;;;;Imenso
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;não encontrei nenhum aspecto que menos gostasse;Bastante
4;Aspecto Visual;;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;;;;;nada a acrescentar;Alguma coisa
2;;;;;;Modelo de negócios;;;;;;Aspeto Visual;Navegação na ferramenta;;;;;;Mural de equipa;;;;Pouco
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;;Exemplos;;;;;;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;;;;;Indicações de Interface;Mural de equipa;;;;Imenso
;;;;;;;;;;;;;;;;;;;;;;;
4;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
3;;;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;Alguma coisa
4;;Navegação na ferramenta;;;Vídeos;;;;;;;;;;Exemplos;;;;;;;;Bastante
4;Aspecto Visual;;;;;Modelo de negócios;;;;;;;;;Exemplos;;;;;Gestão de equipa;Gestão de projectos;;Alguma coisa
3;Aspecto Visual;;Perguntas;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;Exemplos;;;;Mural de equipa;;;;Alguma coisa
