Question,Counts,Year,population,Percentage,P/N,Questao
Aspecto Visual,906,2014,1550,0.5845161290322579,Positivos,Positivos : Aspecto Visual
Navegação na Ferramenta,890,2014,1550,0.5741935483870968,Positivos,Positivos : Navegação na Ferramenta
Perguntas,516,2014,1550,0.3329032258064516,Positivos,Positivos : Perguntas
Exemplos,668,2014,1550,0.4309677419354839,Positivos,Positivos : Exemplos
Vídeos,252,2014,1550,0.1625806451612903,Positivos,Positivos : Vídeos
Modelo de Negócios,593,2014,1550,0.3825806451612903,Positivos,Positivos : Modelo de Negócios
Indicações de Interface,191,2014,1550,0.12322580645161292,Positivos,Positivos : Indicações de Interface
Mural de Equipa,68,2014,1550,0.04387096774193548,Positivos,Positivos : Mural de Equipa
Gestão de Equipa,55,2014,1550,0.035483870967741936,Positivos,Positivos : Gestão de Equipa
Gestão de Projectos,435,2014,1550,0.2806451612903226,Positivos,Positivos : Gestão de Projectos
Acesso a recursos externos,46,2014,1550,0.029677419354838714,Positivos,Positivos : Acesso a recursos externos
Aspecto Visual,151,2014,1550,0.09741935483870967,Negativos,Negativos : Aspecto Visual
Navegação na Ferramenta,276,2014,1550,0.17806451612903226,Negativos,Negativos : Navegação na Ferramenta
Perguntas,246,2014,1550,0.15870967741935485,Negativos,Negativos : Perguntas
Exemplos,315,2014,1550,0.2032258064516129,Negativos,Negativos : Exemplos
Vídeos,643,2014,1550,0.41483870967741937,Negativos,Negativos : Vídeos
Modelo de Negócios,138,2014,1550,0.08903225806451613,Negativos,Negativos : Modelo de Negócios
Indicações de Interface,481,2014,1550,0.3103225806451613,Negativos,Negativos : Indicações de Interface
Mural de Equipa,575,2014,1550,0.3709677419354839,Negativos,Negativos : Mural de Equipa
Gestão de Equipa,498,2014,1550,0.3212903225806452,Negativos,Negativos : Gestão de Equipa
Gestão de Projectos,207,2014,1550,0.1335483870967742,Negativos,Negativos : Gestão de Projectos
Acesso a recursos externos,837,2014,1550,0.54,Negativos,Negativos : Acesso a recursos externos
Aspecto Visual,36,2015,88,0.4090909090909091,Positivos,Positivos : Aspecto Visual
Navegação na Ferramenta,44,2015,88,0.5,Positivos,Positivos : Navegação na Ferramenta
Perguntas,15,2015,88,0.17045454545454544,Positivos,Positivos : Perguntas
Exemplos,25,2015,88,0.2840909090909091,Positivos,Positivos : Exemplos
Vídeos,32,2015,88,0.3636363636363637,Positivos,Positivos : Vídeos
Modelo de Negócios,47,2015,88,0.5340909090909091,Positivos,Positivos : Modelo de Negócios
Indicações de Interface,11,2015,88,0.125,Positivos,Positivos : Indicações de Interface
