Question,Counts,Year,population,Percentage,P/N,Questao
Aspecto Visual,906,2014,1550,0.5845161290322579,Positivos,Positivos : Aspecto Visual
Navegação na Ferramenta,890,2014,1550,0.5741935483870968,Positivos,Positivos : Navegação na Ferramenta
Perguntas,516,2014,1550,0.3329032258064516,Positivos,Positivos : Perguntas
Exemplos,668,2014,1550,0.4309677419354839,Positivos,Positivos : Exemplos
Vídeos,252,2014,1550,0.1625806451612903,Positivos,Positivos : Vídeos
Modelo de Negócios,593,2014,1550,0.3825806451612903,Positivos,Positivos : Modelo de Negócios
Indicações de Interface,191,2014,1550,0.12322580645161292,Positivos,Positivos : Indicações de Interface
Mural de Equipa,68,2014,1550,0.04387096774193548,Positivos,Positivos : Mural de Equipa
Gestão de Equipa,55,2014,1550,0.035483870967741936,Positivos,Positivos : Gestão de Equipa
Gestão de Projectos,435,2014,1550,0.2806451612903226,Positivos,Positivos : Gestão de Projectos
Acesso a recursos externos,46,2014,1550,0.029677419354838714,Positivos,Positivos : Acesso a recursos externos
Aspecto Visual,36,2015,88,0.4090909090909091,Positivos,Positivos : Aspecto Visual
Navegação na Ferramenta,44,2015,88,0.5,Positivos,Positivos : Navegação na Ferramenta
Perguntas,15,2015,88,0.17045454545454544,Positivos,Positivos : Perguntas
Exemplos,25,2015,88,0.2840909090909091,Positivos,Positivos : Exemplos
Vídeos,32,2015,88,0.3636363636363637,Positivos,Positivos : Vídeos
Modelo de Negócios,47,2015,88,0.5340909090909091,Positivos,Positivos : Modelo de Negócios
Indicações de Interface,11,2015,88,0.125,Positivos,Positivos : Indicações de Interface
Mural de Equipa,4,2015,88,0.045454545454545456,Positivos,Positivos : Mural de Equipa
Gestão de Equipa,4,2015,88,0.045454545454545456,Positivos,Positivos : Gestão de Equipa
Gestão de Projectos,38,2015,88,0.4318181818181818,Positivos,Positivos : Gestão de Projectos
Acesso a recursos externos,2,2015,88,0.022727272727272728,Positivos,Positivos : Acesso a recursos externos
Aspecto Visual,107,2016,249,0.4297188755020081,Positivos,Positivos : Aspecto Visual
Navegação na Ferramenta,118,2016,249,0.4738955823293173,Positivos,Positivos : Navegação na Ferramenta
Perguntas,58,2016,249,0.2329317269076305,Positivos,Positivos : Perguntas
Exemplos,92,2016,249,0.3694779116465863,Positivos,Positivos : Exemplos
Vídeos,90,2016,249,0.3614457831325301,Positivos,Positivos : Vídeos
Modelo de Negócios,129,2016,249,0.5180722891566265,Positivos,Positivos : Modelo de Negócios
Indicações de Interface,42,2016,249,0.1686746987951807,Positivos,Positivos : Indicações de Interface
