Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Satisfeito;Não foram úteis;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Pouco
Satisfeito;Não foram úteis;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;;Vídeos;Modelo de negócios;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;Navegação na ferramenta;Perguntas;;;;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;Pouco
Satisfeito;Úteis, mas pouco;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;Exemplos;;Modelo de negócios;;Mural de equipa;;;;;Pouco
Satisfeito;Não foram úteis;Não, nada úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;;;;;Mural de equipa;;;;A ferramenta nada tem que não se possa fazer offline;;Navegação na ferramenta;;;Vídeos;;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;;;Gestão de equipa;;Acesso a recursos externos;Não entendo como faço a gestao da equipa;Pouco
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;;Modelo de negócios;;Mural de equipa;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Pouco
Satisfeito;Não foram úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;;workshops serem pagos;Pouco
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;Pouco
Satisfeito;Não foram úteis;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;;Vídeos;;;Mural de equipa;;;Acesso a recursos externos;;Pouco
Satisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;;;Mural de equipa;;Gestão de projectos;;;;Navegação na ferramenta;;;Vídeos;;;;;;;Acesso à ferramenta a partir de motores de busca;Pouco
Satisfeito;Foram muito úteis;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;Gestão de projectos;;;Pouco
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;;;Modelo de negócios;;Mural de equipa;Gestão de equipa;;;;Pouco
Satisfeito;Não foram úteis;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;Pouco
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;;Pouco
Satisfeito;Úteis, mas pouco;Não, nada úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Pouco
Satisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;Exemplos;;;Indicações de interface;Mural de equipa;;;;;Pouco
Satisfeito;Úteis, mas pouco;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Pouco
