Estruturação da Dreamfactory;Acha que ferramenta é fácil ou difícil de preencher?;Estruturação da Dreamfactory.1;Em que medida os vídeos foram úteis ou pedagógicos?;Em que medida os exemplos foram úteis ou pedagógicos?
Satisfeito;Fácil;está no seu formato ideal;5;3
Indiferente;Fácil;está no seu formato ideal;1;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;5;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;5;4
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;2;2
Satisfeito;Fácil;tem perguntas a mais;3;3
Pouco satisfeito;Fácil;gostaria de mais perguntas intermédias;3;3
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;está no seu formato ideal;3;3
Satisfeito;Difícil;tem perguntas a mais;5;4
Pouco satisfeito;Difícil;gostaria de mais perguntas intermédias;4;5
Muito satisfeito;Fácil;está no seu formato ideal;3;5
Pouco satisfeito;Fácil;gostaria de mais perguntas intermédias;3;3
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;3;5
Satisfeito;Fácil;está no seu formato ideal;4;4
Indiferente;Fácil;está no seu formato ideal;5;5
Indiferente;Fácil;gostaria de mais perguntas intermédias;4;4
Indiferente;Fácil;está no seu formato ideal;3;4
Pouco satisfeito;Fácil;está no seu formato ideal;Não sei/Não respondo;5
Satisfeito;Fácil;está no seu formato ideal;3;4
Satisfeito;Fácil;está no seu formato ideal;4;4
Satisfeito;Fácil;está no seu formato ideal;3;3
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Muito fácil;está no seu formato ideal;3;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;está no seu formato ideal;5;5
Pouco satisfeito;Fácil;tem perguntas a mais;5;5
Pouco satisfeito;Difícil;está no seu formato ideal;Não sei/Não respondo;2
Satisfeito;Fácil;está no seu formato ideal;4;4
Pouco satisfeito;Fácil;está no seu formato ideal;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;3;3
Satisfeito;Fácil;tem perguntas a mais;1;5
Satisfeito;Fácil;gostaria de mais perguntas intermédias;5;4
Muito satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;5;5
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;5
Satisfeito;Difícil;está no seu formato ideal;Não sei/Não respondo;3
Muito satisfeito;Muito fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;gostaria de mais perguntas intermédias;3;3
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Indiferente;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;tem perguntas a mais;3;5
Satisfeito;Difícil;está no seu formato ideal;2;3
Pouco satisfeito;Difícil;tem perguntas a mais;3;4
Indiferente;Muito fácil;tem perguntas a mais;5;4
Indiferente;Difícil;tem perguntas a mais;3;5
Satisfeito;Fácil;está no seu formato ideal;2;4
Indiferente;Fácil;está no seu formato ideal;4;4
Muito satisfeito;Fácil;gostaria de mais perguntas intermédias;5;4
Indiferente;Fácil;está no seu formato ideal;3;1
Muito satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;5
Indiferente;Fácil;está no seu formato ideal;5;5
Indiferente;Fácil;está no seu formato ideal;3;4
Satisfeito;Fácil;está no seu formato ideal;2;4
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;5;4
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;está no seu formato ideal;4;4
Muito satisfeito;Fácil;está no seu formato ideal;2;3
Pouco satisfeito;Fácil;está no seu formato ideal;4;4
Pouco satisfeito;Muito fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;está no seu formato ideal;5;3
Satisfeito;Muito fácil;está no seu formato ideal;1;5
Satisfeito;Fácil;gostaria de mais perguntas intermédias;3;4
Satisfeito;Difícil;está no seu formato ideal;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;3;4
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;está no seu formato ideal;5;4
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;está no seu formato ideal;5;5
Pouco satisfeito;Fácil;está no seu formato ideal;5;5
Pouco satisfeito;Difícil;gostaria de mais perguntas intermédias;3;2
Satisfeito;Difícil;tem perguntas a mais;4;4
Pouco satisfeito;Difícil;tem perguntas a mais;4;4
Satisfeito;Fácil;gostaria de mais perguntas intermédias;4;4
Satisfeito;Muito fácil;está no seu formato ideal;5;5
Satisfeito;Fácil;está no seu formato ideal;Não sei/Não respondo;Não sei/Não respondo
Pouco satisfeito;Fácil;está no seu formato ideal;4;4
Pouco satisfeito;Difícil;está no seu formato ideal;5;4
Satisfeito;Muito fácil;está no seu formato ideal;5;3
Satisfeito;Muito fácil;está no seu formato ideal;5;5
Satisfeito;Muito fácil;está no seu formato ideal;5;5
Muito satisfeito;Fácil;está no seu formato ideal;4;5
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;5;3
Satisfeito;Muito fácil;gostaria de mais perguntas intermédias;5;3
Satisfeito;Fácil;está no seu formato ideal;5;5
