Está satisfeito com a ferramenta DreamShaper?,Positivos:Aspecto Visual,Positivos:Navegação na Ferramenta,Positivos:Perguntas,Positivos:Exemplos,Positivos:Vídeos,Positivos:Modelo de Negócios,Positivos:Indicações de Interface,Positivos:Mural de Equipa,Positivos:Gestão de Equipa,Positivos:Gestão de Projectos,Positivos: Acesso a recursos externos,Negativos:Aspecto Visual,Negativos:Navegação na Ferramenta,Negativos:Perguntas,Negativos:Exemplos,Negativos:Vídeos,Negativos:Modelo de Negócios,Negativos:Indicações de Interface,Negativos:Mural de Equipa,Negativos:Gestão de Equipa,Negativos:Gestão de Projectos,Negativos: Acesso a recursos externos,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?NumOrig,Está satisfeito com a ferramenta DreamShaper?Num,Quanto aprendeu com a DreamShaper?Encod
Satisfeito,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Muito Satisfeito,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Aprendi bastante,5.0,4.0,4.0
Satisfeito,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,Aprendi bastante,4.0,3.2,4.0
Muito Satisfeito,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Aprendi bastante,5.0,4.0,4.0
Muito insatisfeito,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Aprendi alguma coisa,1.0,0.8,3.0
Muito insatisfeito,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Aprendi imenso!,1.0,0.8,5.0
Satisfeito,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Aprendi imenso!,4.0,3.2,5.0
Muito Satisfeito,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Aprendi bastante,5.0,4.0,4.0
Satisfeito,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Aprendi alguma coisa,4.0,3.2,3.0
Muito Satisfeito,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,Aprendi bastante,5.0,4.0,4.0
Muito Satisfeito,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Aprendi bastante,5.0,4.0,4.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Muito Satisfeito,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Nem satisfeito nem insatisfeito,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Aprendi alguma coisa,3.0,2.4,3.0
Muito Satisfeito,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,Aprendi alguma coisa,5.0,4.0,3.0
Muito Satisfeito,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,Aprendi alguma coisa,5.0,4.0,3.0
Muito Satisfeito,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"Aprendi, mas pouco",5.0,4.0,2.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,Aprendi bastante,5.0,4.0,4.0
Muito Satisfeito,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito insatisfeito,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Aprendi imenso!,1.0,0.8,5.0
Muito Satisfeito,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,Aprendi alguma coisa,5.0,4.0,3.0
Muito Satisfeito,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Aprendi bastante,5.0,4.0,4.0
Satisfeito,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Aprendi alguma coisa,4.0,3.2,3.0
Muito Satisfeito,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Aprendi bastante,5.0,4.0,4.0
Muito Satisfeito,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Aprendi imenso!,5.0,4.0,5.0
Satisfeito,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,Aprendi imenso!,4.0,3.2,5.0
Muito insatisfeito,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,Aprendi bastante,1.0,0.8,4.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Aprendi bastante,5.0,4.0,4.0
Muito Satisfeito,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Aprendi bastante,5.0,4.0,4.0
Muito Satisfeito,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Aprendi imenso!,5.0,4.0,5.0
Muito insatisfeito,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Aprendi bastante,1.0,0.8,4.0
Satisfeito,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Aprendi imenso!,4.0,3.2,5.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Aprendi alguma coisa,5.0,4.0,3.0
Satisfeito,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Aprendi alguma coisa,4.0,3.2,3.0
Muito Satisfeito,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Satisfeito,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Muito insatisfeito,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Aprendi imenso!,1.0,0.8,5.0
Satisfeito,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Aprendi alguma coisa,4.0,3.2,3.0
Satisfeito,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,Aprendi imenso!,4.0,3.2,5.0
Muito insatisfeito,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,Aprendi bastante,1.0,0.8,4.0
Muito Satisfeito,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito insatisfeito,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,Aprendi imenso!,1.0,0.8,5.0
Satisfeito,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Aprendi imenso!,4.0,3.2,5.0
Muito Satisfeito,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
Satisfeito,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,Aprendi imenso!,4.0,3.2,5.0
Satisfeito,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Aprendi bastante,4.0,3.2,4.0
Satisfeito,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Nem satisfeito nem insatisfeito,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Aprendi alguma coisa,3.0,2.4,3.0
Muito Satisfeito,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,Aprendi imenso!,5.0,4.0,5.0
Muito Satisfeito,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Aprendi imenso!,5.0,4.0,5.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Aprendi imenso!,4.0,3.2,5.0
Satisfeito,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,Aprendi bastante,4.0,3.2,4.0
Muito Satisfeito,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Aprendi alguma coisa,5.0,4.0,3.0
Muito Satisfeito,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,Aprendi imenso!,5.0,4.0,5.0
