"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,Unnamed: 12,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de Negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Unnamed: 24,Quanto aprendeu com a DreamShaper?,Unnamed: 26,Em que etapa do concurso sentiu mais dificuldade?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3.0,1,0,0,0,0,1,0,0,0,1,,,0,1,0,1,0,0,0,0,1,0,,,Bastante,,Etapa 3,3.0,4.0
4.0,1,1,0,0,1,1,0,0,0,1,,,0,0,0,1,0,0,1,1,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,3.0
4.0,0,0,0,1,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,,Imenso,,Etapa 3,4.0,5.0
3.0,1,1,0,0,1,0,1,0,0,0,,,0,0,1,1,0,1,0,1,1,1,,,Bastante,,Etapa 2,3.0,4.0
4.0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,nenhum,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,1,1,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Nada em especial.,,Bastante,,Etapa 4,4.0,4.0
2.0,0,1,0,0,0,0,1,0,0,1,,,0,0,0,1,0,0,0,1,1,0,,,Pouco,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,2.0
3.0,1,1,0,0,1,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,4.0
3.0,0,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,0,1,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,1,0,0,0,1,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Nenhum,,Bastante,,Etapa 2,4.0,4.0
4.0,0,1,0,0,0,1,0,0,0,1,,,0,0,0,0,0,0,1,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,1,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Nenhum,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
1.0,0,0,0,0,0,0,0,1,0,0,,,0,1,1,1,0,0,0,0,0,0,,,Nada,,Etapa 4,1.0,1.0
4.0,1,0,1,1,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,,,Imenso,,Etapa 4,4.0,5.0
3.0,0,0,1,1,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,1,0,Nem todas as funcionalidades estão disponíveis no iPad,,Bastante,,Etapa 2,3.0,4.0
4.0,1,1,1,1,1,1,1,1,1,1,,,0,0,0,0,0,0,0,0,0,0,nenhum,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
4.0,0,1,0,1,1,0,0,0,0,0,,,0,0,0,0,0,1,0,0,1,1,,,Alguma coisa,,Etapa 2,4.0,3.0
3.0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Rigidez do modelo (inevitável dada as diferentes áreas de negócio/empresas concorrentes...),,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,4.0
2.0,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,"Na parte dirigida à orçamentação são muito pouco explicativos, a maioria dos campos não sabia como preencher devidamente. Como esperam que alguém que nunca soube estimar valores de investimentos faça uma média daquilo que precisa? Os valores parecem irreais. Deveriam ter acompanhamento pessoal. Quanto a ter uma equipa, é ridículo ser desclassificado por não possuir elementos suficientes, se eu fui capaz de estruturar a ideia sozinha quer dizer que pretendo contratar pessoas para a minha empresa.",,Alguma coisa,,Etapa 4,2.0,3.0
3.0,0,1,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,1,1,1,0,,,Bastante,,Etapa 2,3.0,4.0
2.0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,,Pouco,,Etapa 2,2.0,2.0
4.0,1,1,1,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,0,A,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
4.0,0,1,0,0,1,0,1,0,0,0,,,0,0,1,1,0,0,0,1,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,0,1,0,0,1,1,0,0,0,1,,,0,0,1,0,0,0,1,0,1,0,,,Imenso,,Etapa 4,4.0,5.0
4.0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,nenhum,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,1,0,1,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,Cálculo dos indicadores financeiros tem um erro no 2º ano,,Bastante,,Etapa 2,4.0,4.0
4.0,0,0,1,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,nada a assinalar,,Alguma coisa,,Etapa 3,4.0,3.0
4.0,1,1,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,1,1,,,Alguma coisa,,Etapa 4,4.0,3.0
2.0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,contacto visual pelo menos uma vez para acreditar mais....,,Alguma coisa,,Etapa 4,2.0,3.0
4.0,1,1,0,0,0,1,0,0,1,0,,,0,0,0,1,1,0,1,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
3.0,1,1,0,0,0,0,0,0,0,1,,,0,0,0,1,1,1,0,0,0,0,,,Alguma coisa,,Etapa 2,3.0,3.0
3.0,0,1,1,0,0,0,0,0,1,1,,,1,0,0,0,0,1,1,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
4.0,0,1,1,1,1,0,0,0,0,1,,,0,0,0,0,0,1,1,0,0,0,estava tudo aceitavelmente bom,,Imenso,,Etapa 4,4.0,5.0
2.0,1,0,1,0,0,0,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,,,Pouco,,Etapa 4,2.0,2.0
4.0,0,1,1,0,0,1,0,0,0,0,,,0,1,0,1,0,0,0,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,0,0,1,1,0,0,0,1,1,,,0,1,0,0,0,0,1,1,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,0,0,0,0,0,1,0,0,1,1,,,0,0,0,1,1,0,0,0,0,0,Nao tenho outro aspecto,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
4.0,0,0,0,1,0,1,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,0,0,0,1,1,1,0,0,0,1,,,0,0,0,0,0,0,1,1,0,0,Não está muito vocacionado para serviços,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
3.0,1,1,0,1,0,1,0,0,0,1,,,0,0,0,0,1,0,0,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,0,0,0,0,0,1,1,0,0,1,,,0,0,0,0,0,0,0,1,1,0,darem prioridade a projetos prioritariamente ligados a tecnologia e esquecer outros dominios base que poderiam elevar o mercado,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,1,0,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,Imenso,,Etapa 4,4.0,5.0
4.0,1,0,1,1,1,1,0,1,1,1,,,0,1,0,0,0,0,1,0,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,0,1,0,1,1,1,0,0,0,0,,,0,0,0,0,0,0,1,1,0,1,,,Imenso,,Etapa 4,4.0,5.0
2.0,0,0,0,0,0,0,0,0,0,0,Ainda pouco explorado  para ter uma opinião formada.,,0,0,0,0,0,0,0,0,0,0,Ainda pouco explorado  para ter uma opinião formada.,,Nada,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,1.0
4.0,0,1,1,0,1,0,0,0,0,0,,,0,0,0,1,0,0,1,1,0,0,,,Alguma coisa,,Etapa 4,4.0,3.0
4.0,1,0,0,1,1,1,0,1,1,1,,,0,1,1,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 3,4.0,3.0
4.0,0,0,1,0,0,1,0,0,1,1,,,1,1,0,0,0,0,0,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,0,0,1,0,0,0,1,,,0,0,0,1,0,0,0,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
3.0,0,1,0,0,0,1,1,0,0,0,,,0,0,0,1,0,0,0,0,0,0,,,Alguma coisa,,Etapa 2,3.0,3.0
3.0,1,0,0,1,0,0,0,0,0,1,,,0,1,0,0,0,0,1,1,0,0,,,Imenso,,Etapa 4,3.0,5.0
3.0,0,0,1,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Nenhum em particular,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,4.0
4.0,0,1,0,0,0,0,1,0,0,1,,,0,0,0,1,0,0,0,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,1,0,0,0,1,0,0,0,0,1,,,0,0,0,0,0,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,1,0,,,Bastante,,Etapa 3,4.0,4.0
3.0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,0,1,0,1,0,0,1,,,Pouco,,Etapa 1,3.0,2.0
