"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4,1,1,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,Imenso,4,5.0
3,1,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,Falta de apoio de um gestor.,Alguma coisa,3,3.0
3,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,1,"Os detalhes associados ao investimento, relativamente a custos fixos e custos variáveis",Imenso,3,5.0
3,1,1,0,1,1,1,1,0,1,1,,1,0,1,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,0,0,0,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,não tem a funcionalidade de imprimir a informação carregada,Imenso,3,5.0
4,1,0,0,0,1,1,0,0,0,0,,0,1,0,0,0,0,1,1,0,0,,Alguma coisa,4,3.0
3,1,1,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,,Alguma coisa,3,3.0
3,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,Entrevista impatia,Alguma coisa,3,3.0
4,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,1,,Alguma coisa,4,3.0
3,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Falta de apoio pontual ao nosso Projeto.,Alguma coisa,3,3.0
4,0,0,0,0,1,1,0,0,1,1,,0,0,0,1,0,0,0,1,0,0,,Bastante,4,4.0
1,0,0,0,0,0,0,0,0,0,0,acho uma seca .,0,0,0,0,0,0,0,0,0,0,muita conversa .,Alguma coisa,1,3.0
