Está satisfeito com a ferramenta DreamShaper?,Positivos:Aspecto Visual,Positivos:Navegação na Ferramenta,Positivos:Perguntas,Positivos:Exemplos,Positivos:Vídeos,Positivos:Modelo de Negócios,Positivos:Indicações de Interface,Positivos:Mural de Equipa,Positivos:Gestão de Equipa,Positivos:Gestão de Projectos,Negativos:Aspecto Visual,Negativos:Navegação na Ferramenta,Negativos:Perguntas,Negativos:Exemplos,Negativos:Vídeos,Negativos:Modelo de Negócios,Negativos:Indicações de Interface,Negativos:Mural de Equipa,Negativos:Gestão de Equipa,Negativos:Gestão de Projectos,Quanto aprendeu com a DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Alguma coisa,3.0
4.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Bastante,4.0
4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Alguma coisa,3.0
4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Bastante,4.0
4.0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,Alguma coisa,3.0
4.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,Alguma coisa,3.0
4.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bastante,4.0
4.0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,Bastante,4.0
3.0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Bastante,4.0
3.0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,Alguma coisa,3.0
4.0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Alguma coisa,3.0
3.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Alguma coisa,3.0
4.0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,Bastante,4.0
3.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alguma coisa,3.0
4.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Imenso,5.0
4.0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,Imenso,5.0
4.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alguma coisa,3.0
2.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Pouco,2.0
4.0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Bastante,4.0
4.0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Imenso,5.0
4.0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,Bastante,4.0
3.0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,Alguma coisa,3.0
4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bastante,4.0
4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Alguma coisa,3.0
3.0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,Alguma coisa,3.0
4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Alguma coisa,3.0
3.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Bastante,4.0
4.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Alguma coisa,3.0
4.0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Bastante,4.0
4.0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,Bastante,4.0
3.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,Pouco,2.0
4.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Bastante,4.0
1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Nada,1.0
