"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Resumo do negócio;Aspecto visual;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Gestão de projectos;,Alguma coisa,3,3.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Modelo de negócios;,Aspecto visual;Navegação na ferramenta;,Alguma coisa,3,3.0
1- Nada Satisfeito,Não foram úteis,"Não, nada úteis",Tem perguntas a mais; gostaria de ir mais directo ao assunto,Indicações de interface;,Monte pio ;,Alguma coisa,1,3.0
3,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Perguntas;Exemplos;,Aspecto visual;Modelo de negócios;Acesso a recursos externos;,Bastante,3,4.0
2,"Úteis, mas pouco",Pouco úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;,Navegação na ferramenta;Perguntas;Modelo de negócios;,Pouco,2,2.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;,Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Perguntas;,Acesso a recursos externos;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Gestão de projectos;,Navegação na ferramenta;Vídeos;Acesso a recursos externos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Modelo de negócios;,Perguntas;Indicações de interface;Gestão de projectos;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Exemplos;Vídeos;Mural de equipa;,Aspecto visual;Perguntas;Gestão de projectos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Modelo de negócios;Indicações de interface;,Aspecto visual;Navegação na ferramenta;Acesso a recursos externos;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Modelo de negócios;Gestão de equipa;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Perguntas;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Modelo de negócios;,Indicações de interface;Mural de equipa;Gestão de equipa;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Vídeos;Modelo de negócios;,Indicações de interface;Gestão de equipa;Gestão de projectos;,Bastante,3,4.0
3,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Vídeos;Modelo de negócios;,Aspecto visual;Exemplos;Acesso a recursos externos;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Acesso a recursos externos;,Modelo de negócios;Indicações de interface;Gestão de projectos;,Bastante,4,4.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Gestão de equipa;,Bastante,4,4.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Modelo de negócios;,Vídeos;Mural de equipa;Gestão de projectos;,Alguma coisa,4,3.0
3,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;,Navegação na ferramenta;,Pouco,3,2.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de equipa;,Exemplos;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Exemplos;,Modelo de negócios;,Bastante,3,4.0
1- Nada Satisfeito,Não foram úteis,"Não, nada úteis",Tem perguntas a mais; gostaria de ir mais directo ao assunto,Vídeos;,Exemplos;Vídeos;Mural de equipa;,Nada,1,1.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Vídeos;,Perguntas;,Imenso,4,5.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Vídeos;Gestão de equipa;,Aspecto visual;Indicações de interface;Mural de equipa;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Perguntas;Modelo de negócios;,Acesso a recursos externos;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Vídeos;Modelo de negócios;Gestão de projectos;,Mural de equipa;Gestão de equipa;Acesso a recursos externos;,Bastante,4,4.0
