Estruturação da Dreamfactory,Acha que ferramenta é fácil ou difícil de preencher?,Estruturação da Dreamfactory.1,Em que medida os vídeos foram úteis ou pedagógicos?,Em que medida os exemplos foram úteis ou pedagógicos?,Está satisfeito com a ferramenta Dreamfactory?,Estruturação da Dreamfactory.1NUM,Acha que ferramenta é fácil ou difícil de preencher?NUM
Satisfeito,Fácil,está no seu formato ideal,5,3,3.0,2.0,2.0
Indiferente,Fácil,está no seu formato ideal,1,4,2.0,2.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,5,4,3.0,1.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,5,4,3.0,1.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,2,2,3.0,1.0,3.0
Satisfeito,Fácil,tem perguntas a mais,3,3,3.0,3.0,2.0
Pouco satisfeito,Fácil,gostaria de mais perguntas intermédias,3,3,1.0,1.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,3,3,3.0,2.0,2.0
Satisfeito,Difícil,tem perguntas a mais,5,4,3.0,3.0,1.0
Pouco satisfeito,Difícil,gostaria de mais perguntas intermédias,4,5,1.0,1.0,1.0
Muito satisfeito,Fácil,está no seu formato ideal,3,5,4.0,2.0,2.0
Pouco satisfeito,Fácil,gostaria de mais perguntas intermédias,3,3,1.0,1.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,3,5,3.0,1.0,3.0
Satisfeito,Fácil,está no seu formato ideal,4,4,3.0,2.0,2.0
Indiferente,Fácil,está no seu formato ideal,5,5,2.0,2.0,2.0
Indiferente,Fácil,gostaria de mais perguntas intermédias,4,4,2.0,1.0,2.0
Indiferente,Fácil,está no seu formato ideal,3,4,2.0,2.0,2.0
Pouco satisfeito,Fácil,está no seu formato ideal,Não sei/Não respondo,5,1.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,3,4,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,4,4,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,3,3,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Muito fácil,está no seu formato ideal,3,4,3.0,2.0,3.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Pouco satisfeito,Fácil,tem perguntas a mais,5,5,1.0,3.0,2.0
Pouco satisfeito,Difícil,está no seu formato ideal,Não sei/Não respondo,2,1.0,2.0,1.0
Satisfeito,Fácil,está no seu formato ideal,4,4,3.0,2.0,2.0
Pouco satisfeito,Fácil,está no seu formato ideal,4,4,1.0,2.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,3,3,3.0,1.0,2.0
Satisfeito,Fácil,tem perguntas a mais,1,5,3.0,3.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,5,4,3.0,1.0,2.0
Muito satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,4.0,1.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,5,5,3.0,1.0,3.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,5,3.0,1.0,2.0
Satisfeito,Difícil,está no seu formato ideal,Não sei/Não respondo,3,3.0,2.0,1.0
Muito satisfeito,Muito fácil,está no seu formato ideal,5,5,4.0,2.0,3.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,3,3,3.0,1.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,2.0
Indiferente,Fácil,está no seu formato ideal,5,5,2.0,2.0,2.0
Satisfeito,Fácil,tem perguntas a mais,3,5,3.0,3.0,2.0
Satisfeito,Difícil,está no seu formato ideal,2,3,3.0,2.0,1.0
Pouco satisfeito,Difícil,tem perguntas a mais,3,4,1.0,3.0,1.0
Indiferente,Muito fácil,tem perguntas a mais,5,4,2.0,3.0,3.0
Indiferente,Difícil,tem perguntas a mais,3,5,2.0,3.0,1.0
Satisfeito,Fácil,está no seu formato ideal,2,4,3.0,2.0,2.0
Indiferente,Fácil,está no seu formato ideal,4,4,2.0,2.0,2.0
Muito satisfeito,Fácil,gostaria de mais perguntas intermédias,5,4,4.0,1.0,2.0
Indiferente,Fácil,está no seu formato ideal,3,1,2.0,2.0,2.0
Muito satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,4.0,1.0,2.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,5,3.0,1.0,2.0
Indiferente,Fácil,está no seu formato ideal,5,5,2.0,2.0,2.0
Indiferente,Fácil,está no seu formato ideal,3,4,2.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,2,4,3.0,2.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,3.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,5,4,3.0,1.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,4,4,3.0,2.0,2.0
Muito satisfeito,Fácil,está no seu formato ideal,2,3,4.0,2.0,2.0
Pouco satisfeito,Fácil,está no seu formato ideal,4,4,1.0,2.0,2.0
Pouco satisfeito,Muito fácil,gostaria de mais perguntas intermédias,4,4,1.0,1.0,3.0
Satisfeito,Fácil,está no seu formato ideal,5,3,3.0,2.0,2.0
Satisfeito,Muito fácil,está no seu formato ideal,1,5,3.0,2.0,3.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,3,4,3.0,1.0,2.0
Satisfeito,Difícil,está no seu formato ideal,4,4,3.0,2.0,1.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,3,4,3.0,1.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,4,3.0,2.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,3.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
Pouco satisfeito,Fácil,está no seu formato ideal,5,5,1.0,2.0,2.0
Pouco satisfeito,Difícil,gostaria de mais perguntas intermédias,3,2,1.0,1.0,1.0
Satisfeito,Difícil,tem perguntas a mais,4,4,3.0,3.0,1.0
Pouco satisfeito,Difícil,tem perguntas a mais,4,4,1.0,3.0,1.0
Satisfeito,Fácil,gostaria de mais perguntas intermédias,4,4,3.0,1.0,2.0
Satisfeito,Muito fácil,está no seu formato ideal,5,5,3.0,2.0,3.0
Satisfeito,Fácil,está no seu formato ideal,Não sei/Não respondo,Não sei/Não respondo,3.0,2.0,2.0
Pouco satisfeito,Fácil,está no seu formato ideal,4,4,1.0,2.0,2.0
Pouco satisfeito,Difícil,está no seu formato ideal,5,4,1.0,2.0,1.0
Satisfeito,Muito fácil,está no seu formato ideal,5,3,3.0,2.0,3.0
Satisfeito,Muito fácil,está no seu formato ideal,5,5,3.0,2.0,3.0
Satisfeito,Muito fácil,está no seu formato ideal,5,5,3.0,2.0,3.0
Muito satisfeito,Fácil,está no seu formato ideal,4,5,4.0,2.0,2.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,5,3,3.0,1.0,3.0
Satisfeito,Muito fácil,gostaria de mais perguntas intermédias,5,3,3.0,1.0,3.0
Satisfeito,Fácil,está no seu formato ideal,5,5,3.0,2.0,2.0
