Está satisfeito com a ferramenta DreamShaper?,Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Acesso a recursos externos,E quais são os 3 aspectos que menos gosta? Outros,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?Encod,Quanto aprendeu com a DreamShaper?Encod
Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,1,1,1,0,0,0,0,0,0,0,,Aprendi alguma coisa,4.0,3.0
Satisfeito,0,0,1,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,1,,Aprendi bastante,4.0,4.0
Muito Satisfeito,0,1,1,0,0,1,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,1,,Aprendi bastante,5.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,1,0,0,1,0,0,0,0,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,0,0,1,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,1,,Aprendi alguma coisa,4.0,3.0
Satisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,1,0,0,0,1,0,,Aprendi alguma coisa,4.0,3.0
Satisfeito,0,1,0,0,1,1,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,0,0,0,0,0,1,0,0,0,1,0,Estrutura e funcionalidade,0,1,1,0,1,0,0,0,0,0,0,,Aprendi bastante,4.0,4.0
Muito Satisfeito,1,0,0,0,0,1,0,0,0,0,0,Organização e estruturação de todo um modelo de negócios.,0,0,0,1,0,0,0,1,0,0,1,Para quem não tem formação na área empresarial falta explicar alguns dos valores das projecções dos investimentos.,Aprendi bastante,5.0,4.0
