Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,906,2014,1550,0.584516129032258,Positivos
Navegação na Ferramenta,890,2014,1550,0.5741935483870968,Positivos
Perguntas,516,2014,1550,0.3329032258064516,Positivos
Exemplos,668,2014,1550,0.4309677419354839,Positivos
Vídeos,252,2014,1550,0.1625806451612903,Positivos
Modelo de Negócios,593,2014,1550,0.3825806451612903,Positivos
Indicações de Interface,191,2014,1550,0.12322580645161291,Positivos
Mural de Equipa,68,2014,1550,0.04387096774193548,Positivos
Gestão de Equipa,55,2014,1550,0.035483870967741936,Positivos
Gestão de Projectos,435,2014,1550,0.2806451612903226,Positivos
Aspecto Visual,151,2014,1550,0.09741935483870967,Negativos
Navegação na Ferramenta,276,2014,1550,0.17806451612903226,Negativos
Perguntas,246,2014,1550,0.15870967741935485,Negativos
Exemplos,315,2014,1550,0.2032258064516129,Negativos
Vídeos,643,2014,1550,0.41483870967741937,Negativos
Modelo de Negócios,138,2014,1550,0.08903225806451613,Negativos
Indicações de Interface,481,2014,1550,0.3103225806451613,Negativos
Mural de Equipa,575,2014,1550,0.3709677419354839,Negativos
Gestão de Equipa,498,2014,1550,0.32129032258064516,Negativos
Gestão de Projectos,207,2014,1550,0.1335483870967742,Negativos
Aspecto Visual,36,2015,88,0.4090909090909091,Positivos
Navegação na Ferramenta,44,2015,88,0.5,Positivos
Perguntas,15,2015,88,0.17045454545454544,Positivos
Exemplos,25,2015,88,0.2840909090909091,Positivos
Vídeos,32,2015,88,0.36363636363636365,Positivos
Modelo de Negócios,47,2015,88,0.5340909090909091,Positivos
Indicações de Interface,11,2015,88,0.125,Positivos
Mural de Equipa,4,2015,88,0.045454545454545456,Positivos
Gestão de Equipa,4,2015,88,0.045454545454545456,Positivos
Gestão de Projectos,38,2015,88,0.4318181818181818,Positivos
Aspecto Visual,13,2015,88,0.14772727272727273,Negativos
Navegação na Ferramenta,23,2015,88,0.26136363636363635,Negativos
Perguntas,22,2015,88,0.25,Negativos
Exemplos,21,2015,88,0.23863636363636365,Negativos
Vídeos,22,2015,88,0.25,Negativos
Modelo de Negócios,9,2015,88,0.10227272727272728,Negativos
Indicações de Interface,32,2015,88,0.36363636363636365,Negativos
Mural de Equipa,28,2015,88,0.3181818181818182,Negativos
Gestão de Equipa,25,2015,88,0.2840909090909091,Negativos
Gestão de Projectos,11,2015,88,0.125,Negativos
Aspecto Visual,107,2016,249,0.14457831325301204,Positivos
Navegação na Ferramenta,118,2016,249,0.17670682730923695,Positivos
Perguntas,58,2016,249,0.060240963855421686,Positivos
Exemplos,92,2016,249,0.10040160642570281,Positivos
Vídeos,90,2016,249,0.1285140562248996,Positivos
Modelo de Negócios,129,2016,249,0.18875502008032127,Positivos
Indicações de Interface,42,2016,249,0.04417670682730924,Positivos
Mural de Equipa,16,2016,249,0.01606425702811245,Positivos
Gestão de Equipa,27,2016,249,0.01606425702811245,Positivos
Gestão de Projectos,84,2016,249,0.15261044176706828,Positivos
Aspecto Visual,35,2016,249,0.05220883534136546,Negativos
Navegação na Ferramenta,57,2016,249,0.09236947791164658,Negativos
Perguntas,55,2016,249,0.08835341365461848,Negativos
Exemplos,58,2016,249,0.08433734939759036,Negativos
Vídeos,43,2016,249,0.08835341365461848,Negativos
Modelo de Negócios,26,2016,249,0.03614457831325301,Negativos
Indicações de Interface,93,2016,249,0.1285140562248996,Negativos
Mural de Equipa,72,2016,249,0.11244979919678715,Negativos
Gestão de Equipa,51,2016,249,0.10040160642570281,Negativos
Gestão de Projectos,47,2016,249,0.04417670682730924,Negativos
Aspecto Visual,226,2017,442,0.5113122171945701,Positivos
Navegação na Ferramenta,270,2017,442,0.6108597285067874,Positivos
Perguntas,112,2017,442,0.25339366515837103,Positivos
Exemplos,192,2017,442,0.4343891402714932,Positivos
Vídeos,273,2017,442,0.6176470588235294,Positivos
Modelo de Negócios,245,2017,442,0.5542986425339367,Positivos
Indicações de Interface,107,2017,442,0.2420814479638009,Positivos
Mural de Equipa,23,2017,442,0.05203619909502263,Positivos
Gestão de Equipa,46,2017,442,0.10407239819004525,Positivos
Gestão de Projectos,176,2017,442,0.39819004524886875,Positivos
Aspecto Visual,59,2017,442,0.1334841628959276,Negativos
Navegação na Ferramenta,100,2017,442,0.22624434389140272,Negativos
