Learned?,counts,year,population,percentage
1.0,16,2014,1550,0.01032258064516129
2.0,75,2014,1550,0.04838709677419355
3.0,549,2014,1550,0.3541935483870968
4.0,771,2014,1550,0.4974193548387097
5.0,138,2014,1550,0.08903225806451613
1.0,1,2015,88,0.011363636363636364
2.0,2,2015,88,0.022727272727272728
3.0,20,2015,88,0.2272727272727273
4.0,34,2015,88,0.3863636363636364
5.0,31,2015,88,0.3522727272727273
1.0,8,2016,249,0.0321285140562249
2.0,19,2016,249,0.07630522088353414
3.0,91,2016,249,0.3654618473895582
4.0,103,2016,249,0.4136546184738956
5.0,28,2016,249,0.11244979919678716
1.0,1,2017,442,0.0022624434389140274
2.0,8,2017,442,0.01809954751131222
3.0,92,2017,442,0.2081447963800905
4.0,225,2017,442,0.5090497737556561
5.0,116,2017,442,0.2624434389140272
1.0,3,2018,870,0.003448275862068965
2.0,19,2018,870,0.021839080459770115
3.0,232,2018,870,0.26666666666666666
4.0,490,2018,870,0.5632183908045977
5.0,126,2018,870,0.14482758620689656
1.0,5,2019,190,0.02631578947368421
2.0,10,2019,190,0.05263157894736842
3.0,67,2019,190,0.3526315789473684
4.0,79,2019,190,0.41578947368421054
5.0,29,2019,190,0.15263157894736842
1.0,4,2020,132,0.030303030303030307
2.0,16,2020,132,0.12121212121212123
3.0,40,2020,132,0.30303030303030304
4.0,56,2020,132,0.42424242424242425
5.0,16,2020,132,0.12121212121212123
