Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,2,2018,4,0.5,Positivos
Navegação na Ferramenta,2,2018,4,0.5,Positivos
Perguntas,0,2018,4,0.0,Positivos
Exemplos,3,2018,4,0.75,Positivos
Vídeos,1,2018,4,0.25,Positivos
Modelo de Negócios,0,2018,4,0.0,Positivos
Indicações de Interface,0,2018,4,0.0,Positivos
Mural de Equipa,0,2018,4,0.0,Positivos
Gestão de Equipa,0,2018,4,0.0,Positivos
Gestão de Projectos,0,2018,4,0.0,Positivos
Aspecto Visual,2,2018,4,0.5,Negativos
Navegação na Ferramenta,2,2018,4,0.5,Negativos
Perguntas,3,2018,4,0.75,Negativos
Exemplos,0,2018,4,0.0,Negativos
Vídeos,0,2018,4,0.0,Negativos
Modelo de Negócios,0,2018,4,0.0,Negativos
Indicações de Interface,0,2018,4,0.0,Negativos
Mural de Equipa,1,2018,4,0.25,Negativos
Gestão de Equipa,1,2018,4,0.25,Negativos
Gestão de Projectos,0,2018,4,0.0,Negativos
