Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,300,2018,560,0.5357142857142857,Positivos
Navegação na Ferramenta,368,2018,560,0.6571428571428571,Positivos
Perguntas,169,2018,560,0.30178571428571427,Positivos
Exemplos,246,2018,560,0.4392857142857143,Positivos
Vídeos,282,2018,560,0.5035714285714286,Positivos
Modelo de Negócios,334,2018,560,0.5964285714285714,Positivos
Indicações de Interface,149,2018,560,0.26607142857142857,Positivos
Mural de Equipa,29,2018,560,0.05178571428571429,Positivos
Gestão de Equipa,73,2018,560,0.13035714285714287,Positivos
Gestão de Projectos,206,2018,560,0.3678571428571429,Positivos
Aspecto Visual,92,2018,560,0.16428571428571428,Negativos
Navegação na Ferramenta,95,2018,560,0.16964285714285715,Negativos
Perguntas,143,2018,560,0.25535714285714284,Negativos
Exemplos,173,2018,560,0.30892857142857144,Negativos
Vídeos,110,2018,560,0.19642857142857142,Negativos
Modelo de Negócios,43,2018,560,0.07678571428571429,Negativos
Indicações de Interface,178,2018,560,0.31785714285714284,Negativos
Mural de Equipa,162,2018,560,0.2892857142857143,Negativos
Gestão de Equipa,97,2018,560,0.1732142857142857,Negativos
Gestão de Projectos,59,2018,560,0.10535714285714286,Negativos
