Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,62,2014,117,0.5299145299145299,Positivos
Navegação na Ferramenta,70,2014,117,0.5982905982905983,Positivos
Perguntas,43,2014,117,0.3675213675213676,Positivos
Exemplos,46,2014,117,0.3931623931623932,Positivos
Vídeos,26,2014,117,0.2222222222222222,Positivos
Modelo de Negócios,44,2014,117,0.3760683760683761,Positivos
Indicações de Interface,14,2014,117,0.11965811965811965,Positivos
Mural de Equipa,1,2014,117,0.008547008547008548,Positivos
Gestão de Equipa,4,2014,117,0.034188034188034185,Positivos
Gestão de Projectos,31,2014,117,0.26495726495726496,Positivos
 Acesso a recursos externos,5,2014,117,0.042735042735042736,Positivos
Aspecto Visual,12,2014,117,0.10256410256410256,Negativos
Navegação na Ferramenta,16,2014,117,0.13675213675213674,Negativos
Perguntas,18,2014,117,0.15384615384615385,Negativos
Exemplos,25,2014,117,0.21367521367521367,Negativos
Vídeos,42,2014,117,0.35897435897435903,Negativos
Modelo de Negócios,10,2014,117,0.08547008547008547,Negativos
Indicações de Interface,43,2014,117,0.3675213675213676,Negativos
Mural de Equipa,51,2014,117,0.4358974358974359,Negativos
Gestão de Equipa,40,2014,117,0.3418803418803419,Negativos
Gestão de Projectos,10,2014,117,0.08547008547008547,Negativos
 Acesso a recursos externos,64,2014,117,0.5470085470085471,Negativos
Aspecto Visual,2,2015,22,0.09090909090909093,Positivos
Navegação na Ferramenta,4,2015,22,0.18181818181818185,Positivos
Perguntas,3,2015,22,0.13636363636363635,Positivos
Exemplos,1,2015,22,0.045454545454545456,Positivos
Vídeos,5,2015,22,0.2272727272727273,Positivos
Modelo de Negócios,1,2015,22,0.045454545454545456,Positivos
Indicações de Interface,2,2015,22,0.09090909090909093,Positivos
Mural de Equipa,1,2015,22,0.045454545454545456,Positivos
Gestão de Equipa,0,2015,22,0.0,Positivos
Gestão de Projectos,3,2015,22,0.13636363636363635,Positivos
 Acesso a recursos externos,1,2015,22,0.045454545454545456,Positivos
Aspecto Visual,1,2015,22,0.045454545454545456,Negativos
Navegação na Ferramenta,3,2015,22,0.13636363636363635,Negativos
Perguntas,2,2015,22,0.09090909090909093,Negativos
Exemplos,3,2015,22,0.13636363636363635,Negativos
Vídeos,3,2015,22,0.13636363636363635,Negativos
Modelo de Negócios,0,2015,22,0.0,Negativos
Indicações de Interface,2,2015,22,0.09090909090909093,Negativos
Mural de Equipa,3,2015,22,0.13636363636363635,Negativos
Gestão de Equipa,3,2015,22,0.13636363636363635,Negativos
Gestão de Projectos,0,2015,22,0.0,Negativos
 Acesso a recursos externos,4,2015,22,0.18181818181818185,Negativos
Aspecto Visual,2,2016,10,0.2,Positivos
Navegação na Ferramenta,2,2016,10,0.2,Positivos
Perguntas,0,2016,10,0.0,Positivos
Exemplos,1,2016,10,0.1,Positivos
Vídeos,2,2016,10,0.2,Positivos
Modelo de Negócios,0,2016,10,0.0,Positivos
Indicações de Interface,1,2016,10,0.1,Positivos
Mural de Equipa,1,2016,10,0.1,Positivos
Gestão de Equipa,0,2016,10,0.0,Positivos
Gestão de Projectos,1,2016,10,0.1,Positivos
Aspecto Visual,3,2016,10,0.3,Negativos
Navegação na Ferramenta,4,2016,10,0.4,Negativos
Perguntas,2,2016,10,0.2,Negativos
Exemplos,3,2016,10,0.3,Negativos
Vídeos,1,2016,10,0.1,Negativos
Modelo de Negócios,0,2016,10,0.0,Negativos
Indicações de Interface,2,2016,10,0.2,Negativos
Mural de Equipa,2,2016,10,0.2,Negativos
Gestão de Equipa,1,2016,10,0.1,Negativos
Gestão de Projectos,4,2016,10,0.4,Negativos
Aspecto Visual,1,2017,3,0.3333333333333333,Positivos
Navegação na Ferramenta,2,2017,3,0.6666666666666666,Positivos
Perguntas,0,2017,3,0.0,Positivos
Exemplos,1,2017,3,0.3333333333333333,Positivos
Vídeos,0,2017,3,0.0,Positivos
Modelo de Negócios,2,2017,3,0.6666666666666666,Positivos
Indicações de Interface,0,2017,3,0.0,Positivos
Mural de Equipa,0,2017,3,0.0,Positivos
Gestão de Equipa,0,2017,3,0.0,Positivos
Gestão de Projectos,0,2017,3,0.0,Positivos
Aspecto Visual,0,2017,3,0.0,Negativos
Navegação na Ferramenta,0,2017,3,0.0,Negativos
Perguntas,1,2017,3,0.3333333333333333,Negativos
Exemplos,1,2017,3,0.3333333333333333,Negativos
Vídeos,1,2017,3,0.3333333333333333,Negativos
Modelo de Negócios,0,2017,3,0.0,Negativos
Indicações de Interface,0,2017,3,0.0,Negativos
Mural de Equipa,0,2017,3,0.0,Negativos
Gestão de Equipa,0,2017,3,0.0,Negativos
Gestão de Projectos,0,2017,3,0.0,Negativos
Aspecto Visual,2,2018,4,0.5,Positivos
Navegação na Ferramenta,2,2018,4,0.5,Positivos
Perguntas,0,2018,4,0.0,Positivos
Exemplos,3,2018,4,0.75,Positivos
Vídeos,1,2018,4,0.25,Positivos
Modelo de Negócios,0,2018,4,0.0,Positivos
Indicações de Interface,0,2018,4,0.0,Positivos
Mural de Equipa,0,2018,4,0.0,Positivos
Gestão de Equipa,0,2018,4,0.0,Positivos
Gestão de Projectos,0,2018,4,0.0,Positivos
Aspecto Visual,2,2018,4,0.5,Negativos
Navegação na Ferramenta,2,2018,4,0.5,Negativos
Perguntas,3,2018,4,0.75,Negativos
Exemplos,0,2018,4,0.0,Negativos
Vídeos,0,2018,4,0.0,Negativos
Modelo de Negócios,0,2018,4,0.0,Negativos
Indicações de Interface,0,2018,4,0.0,Negativos
Mural de Equipa,1,2018,4,0.25,Negativos
Gestão de Equipa,1,2018,4,0.25,Negativos
Gestão de Projectos,0,2018,4,0.0,Negativos
Resumo do negócio,0,2019,5,0.0,Positivos
Modelo de negócios,1,2019,5,0.2,Positivos
Indicações de interface,1,2019,5,0.2,Positivos
Navegação na ferramenta,1,2019,5,0.2,Positivos
Aspecto visual,2,2019,5,0.4,Positivos
Exemplos,0,2019,5,0.0,Positivos
Perguntas,0,2019,5,0.0,Positivos
Vídeos,1,2019,5,0.2,Positivos
Gestão de Equipa,0,2019,5,0.0,Positivos
Acesso a recursos externos,1,2019,5,0.2,Positivos
Resumo do negócio,0,2019,5,0.0,Negativos
Modelo de negócios,1,2019,5,0.2,Negativos
Indicações de interface,1,2019,5,0.2,Negativos
Navegação na ferramenta,1,2019,5,0.2,Negativos
Aspecto visual,0,2019,5,0.0,Negativos
Exemplos,3,2019,5,0.6,Negativos
Perguntas,2,2019,5,0.4,Negativos
Vídeos,3,2019,5,0.6,Negativos
Gestão de Equipa,1,2019,5,0.2,Negativos
Acesso a recursos externos,2,2019,5,0.4,Negativos
Resumo do negócio,0,2020,7,0.0,Positivos
Modelo de negócios,2,2020,7,0.2857142857142857,Positivos
Indicações de interface,1,2020,7,0.14285714285714285,Positivos
Navegação na ferramenta,2,2020,7,0.2857142857142857,Positivos
Aspecto visual,2,2020,7,0.2857142857142857,Positivos
Exemplos,2,2020,7,0.2857142857142857,Positivos
Perguntas,2,2020,7,0.2857142857142857,Positivos
Vídeos,2,2020,7,0.2857142857142857,Positivos
Gestão de Equipa,2,2020,7,0.2857142857142857,Positivos
Acesso a recursos externos,0,2020,7,0.0,Positivos
Resumo do negócio,0,2020,7,0.0,Negativos
Modelo de negócios,1,2020,7,0.14285714285714285,Negativos
Indicações de interface,1,2020,7,0.14285714285714285,Negativos
Navegação na ferramenta,2,2020,7,0.2857142857142857,Negativos
Aspecto visual,2,2020,7,0.2857142857142857,Negativos
Exemplos,2,2020,7,0.2857142857142857,Negativos
Perguntas,3,2020,7,0.42857142857142855,Negativos
Vídeos,2,2020,7,0.2857142857142857,Negativos
Gestão de Equipa,1,2020,7,0.14285714285714285,Negativos
Acesso a recursos externos,1,2020,7,0.14285714285714285,Negativos
