Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,62,2014,117,0.5299145299145299,Positivos
Navegação na Ferramenta,70,2014,117,0.5982905982905983,Positivos
Perguntas,43,2014,117,0.36752136752136755,Positivos
Exemplos,46,2014,117,0.39316239316239315,Positivos
Vídeos,26,2014,117,0.2222222222222222,Positivos
Modelo de Negócios,44,2014,117,0.37606837606837606,Positivos
Indicações de Interface,14,2014,117,0.11965811965811966,Positivos
Mural de Equipa,1,2014,117,0.008547008547008548,Positivos
Gestão de Equipa,4,2014,117,0.03418803418803419,Positivos
Gestão de Projectos,31,2014,117,0.26495726495726496,Positivos
Aspecto Visual,12,2014,117,0.10256410256410256,Negativos
Navegação na Ferramenta,16,2014,117,0.13675213675213677,Negativos
Perguntas,18,2014,117,0.15384615384615385,Negativos
Exemplos,25,2014,117,0.21367521367521367,Negativos
Vídeos,42,2014,117,0.358974358974359,Negativos
Modelo de Negócios,10,2014,117,0.08547008547008547,Negativos
Indicações de Interface,43,2014,117,0.36752136752136755,Negativos
Mural de Equipa,51,2014,117,0.4358974358974359,Negativos
Gestão de Equipa,40,2014,117,0.3418803418803419,Negativos
Gestão de Projectos,10,2014,117,0.08547008547008547,Negativos
