Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,1,2014,2,0.5,Positivos
Navegação na Ferramenta,1,2014,2,0.5,Positivos
Perguntas,0,2014,2,0.0,Positivos
Exemplos,0,2014,2,0.0,Positivos
Vídeos,0,2014,2,0.0,Positivos
Modelo de Negócios,1,2014,2,0.5,Positivos
Indicações de Interface,0,2014,2,0.0,Positivos
Mural de Equipa,0,2014,2,0.0,Positivos
Gestão de Equipa,1,2014,2,0.5,Positivos
Gestão de Projectos,2,2014,2,1.0,Positivos
 Acesso a recursos externos,0,2014,2,0.0,Positivos
Aspecto Visual,1,2014,2,0.5,Negativos
Navegação na Ferramenta,1,2014,2,0.5,Negativos
Perguntas,1,2014,2,0.5,Negativos
Exemplos,0,2014,2,0.0,Negativos
Vídeos,0,2014,2,0.0,Negativos
Modelo de Negócios,1,2014,2,0.5,Negativos
Indicações de Interface,1,2014,2,0.5,Negativos
Mural de Equipa,0,2014,2,0.0,Negativos
Gestão de Equipa,1,2014,2,0.5,Negativos
Gestão de Projectos,0,2014,2,0.0,Negativos
 Acesso a recursos externos,0,2014,2,0.0,Negativos
