Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,12,2015,39,0.3076923076923077,Positivos
Navegação na Ferramenta,21,2015,39,0.5384615384615384,Positivos
Perguntas,5,2015,39,0.1282051282051282,Positivos
Exemplos,10,2015,39,0.2564102564102564,Positivos
Vídeos,13,2015,39,0.3333333333333333,Positivos
Modelo de Negócios,25,2015,39,0.6410256410256411,Positivos
Indicações de Interface,5,2015,39,0.1282051282051282,Positivos
Mural de Equipa,2,2015,39,0.05128205128205128,Positivos
Gestão de Equipa,2,2015,39,0.05128205128205128,Positivos
Gestão de Projectos,19,2015,39,0.48717948717948717,Positivos
Aspecto Visual,6,2015,39,0.15384615384615385,Negativos
Navegação na Ferramenta,5,2015,39,0.1282051282051282,Negativos
Perguntas,13,2015,39,0.3333333333333333,Negativos
Exemplos,10,2015,39,0.2564102564102564,Negativos
Vídeos,11,2015,39,0.28205128205128205,Negativos
Modelo de Negócios,3,2015,39,0.07692307692307693,Negativos
Indicações de Interface,10,2015,39,0.2564102564102564,Negativos
Mural de Equipa,15,2015,39,0.38461538461538464,Negativos
Gestão de Equipa,16,2015,39,0.41025641025641024,Negativos
Gestão de Projectos,2,2015,39,0.05128205128205128,Negativos
