Aspecto visual,Navegação na Ferramenta,Perguntas,Exemplos,Vídeos,Modelo de Negócios,Indicações de interface,Mural de equipa,Gestão de equipa,Gestão de projectos
0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1,1
0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,1,1
0,0,0,1,1,0,1,0,0,0
0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,1,0,0
0,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,1,0,0,1
0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
