Question,Counts,Year,population,Percentage
Aspecto visual,35,2016,249,0.14056224899598393
Navegação na Ferramenta,57,2016,249,0.2289156626506024
Perguntas,55,2016,249,0.22088353413654618
Exemplos,58,2016,249,0.23293172690763053
Vídeos,43,2016,249,0.17269076305220885
Modelo de Negócios,26,2016,249,0.10441767068273092
Indicações de interface,93,2016,249,0.37349397590361444
Mural de equipa,72,2016,249,0.2891566265060241
Gestão de equipa,51,2016,249,0.20481927710843373
Gestão de projectos,47,2016,249,0.18875502008032127
