Question,Counts,Year,population,Percentage
Positivos:Aspecto Visual,152,2014,304,0.5
Positivos:Navegação na Ferramenta,191,2014,304,0.6282894736842105
Positivos:Perguntas,83,2014,304,0.2730263157894737
Positivos:Exemplos,135,2014,304,0.4440789473684211
Positivos:Vídeos,195,2014,304,0.6414473684210527
Positivos:Modelo de Negócios,181,2014,304,0.5953947368421053
Positivos:Indicações de Interface,83,2014,304,0.2730263157894737
Positivos:Mural de Equipa,18,2014,304,0.05921052631578947
Positivos:Gestão de Equipa,33,2014,304,0.10855263157894737
Positivos:Gestão de Projectos,133,2014,304,0.4375
Negativos:Aspecto Visual,43,2014,304,0.14144736842105263
Negativos:Navegação na Ferramenta,57,2014,304,0.1875
Negativos:Perguntas,66,2014,304,0.21710526315789475
Negativos:Exemplos,77,2014,304,0.2532894736842105
Negativos:Vídeos,42,2014,304,0.13815789473684212
Negativos:Modelo de Negócios,14,2014,304,0.046052631578947366
Negativos:Indicações de Interface,87,2014,304,0.28618421052631576
Negativos:Mural de Equipa,86,2014,304,0.28289473684210525
Negativos:Gestão de Equipa,61,2014,304,0.20065789473684212
Negativos:Gestão de Projectos,26,2014,304,0.08552631578947369
