Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,1,2017,1,1.0,Positivos
Navegação na Ferramenta,1,2017,1,1.0,Positivos
Perguntas,0,2017,1,0.0,Positivos
Exemplos,0,2017,1,0.0,Positivos
Vídeos,0,2017,1,0.0,Positivos
Modelo de Negócios,1,2017,1,1.0,Positivos
Indicações de Interface,0,2017,1,0.0,Positivos
Mural de Equipa,0,2017,1,0.0,Positivos
Gestão de Equipa,0,2017,1,0.0,Positivos
Gestão de Projectos,0,2017,1,0.0,Positivos
Aspecto Visual,0,2017,1,0.0,Negativos
Navegação na Ferramenta,0,2017,1,0.0,Negativos
Perguntas,1,2017,1,1.0,Negativos
Exemplos,1,2017,1,1.0,Negativos
Vídeos,1,2017,1,1.0,Negativos
Modelo de Negócios,0,2017,1,0.0,Negativos
Indicações de Interface,0,2017,1,0.0,Negativos
Mural de Equipa,0,2017,1,0.0,Negativos
Gestão de Equipa,0,2017,1,0.0,Negativos
Gestão de Projectos,0,2017,1,0.0,Negativos
