Question,Counts,Year,population,Percentage
Aspecto Visual,460,2018,870,0.5287356321839081
Navegação na Ferramenta,525,2018,870,0.603448275862069
Perguntas,235,2018,870,0.27011494252873564
Exemplos,362,2018,870,0.4160919540229885
Vídeos,407,2018,870,0.46781609195402296
Modelo de Negócios,478,2018,870,0.5494252873563218
Indicações de Interface,206,2018,870,0.2367816091954023
Mural de equipa,38,2018,870,0.04367816091954023
Gestão de equipa,97,2018,870,0.11149425287356322
Gestão de projectos,296,2018,870,0.34022988505747126
