Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,460,2018,870,0.5287356321839081,Positivos
Navegação na Ferramenta,525,2018,870,0.603448275862069,Positivos
Perguntas,235,2018,870,0.27011494252873564,Positivos
Exemplos,362,2018,870,0.4160919540229885,Positivos
Vídeos,407,2018,870,0.46781609195402296,Positivos
Modelo de Negócios,478,2018,870,0.5494252873563218,Positivos
Indicações de Interface,206,2018,870,0.2367816091954023,Positivos
Mural de Equipa,38,2018,870,0.04367816091954023,Positivos
Gestão de Equipa,97,2018,870,0.11149425287356322,Positivos
Gestão de Projectos,296,2018,870,0.34022988505747126,Positivos
Aspecto Visual,131,2018,870,0.15057471264367817,Negativos
Navegação na Ferramenta,190,2018,870,0.21839080459770116,Negativos
Perguntas,266,2018,870,0.3057471264367816,Negativos
Exemplos,260,2018,870,0.2988505747126437,Negativos
Vídeos,180,2018,870,0.20689655172413793,Negativos
Modelo de Negócios,78,2018,870,0.0896551724137931,Negativos
Indicações de Interface,285,2018,870,0.3275862068965517,Negativos
Mural de Equipa,224,2018,870,0.2574712643678161,Negativos
Gestão de Equipa,134,2018,870,0.15402298850574714,Negativos
Gestão de Projectos,95,2018,870,0.10919540229885058,Negativos
