Question,Counts,Year,population,Percentage
Positivos:Resumo do negócio,0,2014,7,0.0
Positivos:Modelo de negócios,2,2014,7,0.2857142857142857
Positivos:Indicações de interface,1,2014,7,0.14285714285714285
Positivos:Navegação na ferramenta,2,2014,7,0.2857142857142857
Positivos:Aspecto visual,2,2014,7,0.2857142857142857
Positivos:Exemplos,2,2014,7,0.2857142857142857
Positivos:Perguntas,2,2014,7,0.2857142857142857
Positivos:Vídeos,2,2014,7,0.2857142857142857
Positivos:Gestão de Equipa,2,2014,7,0.2857142857142857
Positivos:Acesso a recursos externos,0,2014,7,0.0
Negativos:Resumo do negócio,0,2014,7,0.0
Negativos:Modelo de negócios,1,2014,7,0.14285714285714285
Negativos:Indicações de interface,1,2014,7,0.14285714285714285
Negativos:Navegação na ferramenta,2,2014,7,0.2857142857142857
Negativos:Aspecto visual,2,2014,7,0.2857142857142857
Negativos:Exemplos,2,2014,7,0.2857142857142857
Negativos:Perguntas,3,2014,7,0.42857142857142855
Negativos:Vídeos,2,2014,7,0.2857142857142857
Negativos:Gestão de Equipa,1,2014,7,0.14285714285714285
Negativos:Acesso a recursos externos,1,2014,7,0.14285714285714285
