Question,Counts,Year,population,Percentage,P/N
Resumo do negócio,0,2020,132,0.0,Positivos
Modelo de negócios,78,2020,132,0.5909090909090909,Positivos
Indicações de interface,13,2020,132,0.09848484848484848,Positivos
Navegação na ferramenta,48,2020,132,0.36363636363636365,Positivos
Aspecto visual,43,2020,132,0.32575757575757575,Positivos
Exemplos,46,2020,132,0.3484848484848485,Positivos
Perguntas,24,2020,132,0.18181818181818182,Positivos
Vídeos,52,2020,132,0.3939393939393939,Positivos
Gestão de Equipa,18,2020,132,0.13636363636363635,Positivos
Acesso a recursos externos,15,2020,132,0.11363636363636363,Positivos
Resumo do negócio,0,2020,132,0.0,Negativos
Modelo de negócios,13,2020,132,0.09848484848484848,Negativos
Indicações de interface,35,2020,132,0.26515151515151514,Negativos
Navegação na ferramenta,45,2020,132,0.3409090909090909,Negativos
Aspecto visual,27,2020,132,0.20454545454545456,Negativos
Exemplos,19,2020,132,0.14393939393939395,Negativos
Perguntas,27,2020,132,0.20454545454545456,Negativos
Vídeos,14,2020,132,0.10606060606060606,Negativos
Gestão de Equipa,25,2020,132,0.1893939393939394,Negativos
Acesso a recursos externos,37,2020,132,0.2803030303030303,Negativos
