Question,Counts,Year,population,Percentage
Aspecto visual,152,2014,1550,0.09806451612903226
Navegação na Ferramenta,277,2014,1550,0.17870967741935484
Perguntas,247,2014,1550,0.15935483870967745
Exemplos,316,2014,1550,0.20387096774193547
Vídeos,644,2014,1550,0.4154838709677419
Modelo de Negócios,139,2014,1550,0.08967741935483871
Indicações de interface,482,2014,1550,0.3109677419354839
Mural de equipa,576,2014,1550,0.3716129032258065
Gestão de equipa,499,2014,1550,0.32193548387096776
Gestão de projectos,208,2014,1550,0.13419354838709674
Aspecto visual,13,2015,88,0.14772727272727273
Navegação na Ferramenta,23,2015,88,0.26136363636363635
Perguntas,22,2015,88,0.25
Exemplos,21,2015,88,0.23863636363636365
Vídeos,22,2015,88,0.25
Modelo de Negócios,9,2015,88,0.10227272727272728
Indicações de interface,32,2015,88,0.3636363636363637
Mural de equipa,28,2015,88,0.3181818181818182
Gestão de equipa,25,2015,88,0.2840909090909091
Gestão de projectos,11,2015,88,0.125
Aspecto visual,35,2016,249,0.14056224899598393
Navegação na Ferramenta,57,2016,249,0.2289156626506024
Perguntas,55,2016,249,0.22088353413654616
Exemplos,58,2016,249,0.2329317269076305
Vídeos,43,2016,249,0.17269076305220885
Modelo de Negócios,26,2016,249,0.10441767068273093
Indicações de interface,93,2016,249,0.3734939759036144
Mural de equipa,72,2016,249,0.2891566265060241
Gestão de equipa,51,2016,249,0.20481927710843373
Gestão de projectos,47,2016,249,0.18875502008032127
Aspecto visual,59,2017,442,0.1334841628959276
Navegação na Ferramenta,100,2017,442,0.2262443438914027
Perguntas,106,2017,442,0.2398190045248869
Exemplos,107,2017,442,0.2420814479638009
Vídeos,63,2017,442,0.1425339366515837
Modelo de Negócios,33,2017,442,0.0746606334841629
Indicações de interface,131,2017,442,0.2963800904977376
Mural de equipa,107,2017,442,0.2420814479638009
Gestão de equipa,80,2017,442,0.18099547511312214
Gestão de projectos,52,2017,442,0.1176470588235294
Aspecto visual,131,2018,870,0.15057471264367814
Navegação na Ferramenta,190,2018,870,0.2183908045977012
Perguntas,266,2018,870,0.3057471264367816
Exemplos,260,2018,870,0.2988505747126437
Vídeos,180,2018,870,0.20689655172413796
Modelo de Negócios,78,2018,870,0.0896551724137931
Indicações de interface,285,2018,870,0.3275862068965517
Mural de equipa,224,2018,870,0.2574712643678161
Gestão de equipa,134,2018,870,0.15402298850574714
Gestão de projectos,95,2018,870,0.10919540229885058
