Question,Counts,Year,population,Percentage
Aspecto Visual,907,2014,1550,0.5851612903225807
Navegação na Ferramenta,891,2014,1550,0.5748387096774193
Perguntas,517,2014,1550,0.3335483870967742
Exemplos,669,2014,1550,0.4316129032258065
Vídeos,253,2014,1550,0.16322580645161291
Modelo de Negócios,594,2014,1550,0.3832258064516129
Indicações de Interface,192,2014,1550,0.12387096774193547
Mural de equipa,69,2014,1550,0.04451612903225807
Gestão de equipa,56,2014,1550,0.03612903225806452
Gestão de projectos,436,2014,1550,0.2812903225806452
Aspecto Visual,36,2015,88,0.4090909090909091
Navegação na Ferramenta,44,2015,88,0.5
Perguntas,15,2015,88,0.17045454545454544
Exemplos,25,2015,88,0.2840909090909091
Vídeos,32,2015,88,0.3636363636363637
Modelo de Negócios,47,2015,88,0.5340909090909091
Indicações de Interface,11,2015,88,0.125
Mural de equipa,4,2015,88,0.045454545454545456
Gestão de equipa,4,2015,88,0.045454545454545456
Gestão de projectos,38,2015,88,0.4318181818181818
Aspecto Visual,107,2016,249,0.4297188755020081
Navegação na Ferramenta,118,2016,249,0.4738955823293173
Perguntas,58,2016,249,0.2329317269076305
Exemplos,92,2016,249,0.3694779116465863
Vídeos,90,2016,249,0.3614457831325301
Modelo de Negócios,129,2016,249,0.5180722891566265
Indicações de Interface,42,2016,249,0.1686746987951807
Mural de equipa,16,2016,249,0.0642570281124498
Gestão de equipa,27,2016,249,0.10843373493975904
Gestão de projectos,84,2016,249,0.3373493975903614
Aspecto Visual,226,2017,442,0.5113122171945701
Navegação na Ferramenta,270,2017,442,0.6108597285067874
Perguntas,112,2017,442,0.25339366515837103
Exemplos,192,2017,442,0.4343891402714932
Vídeos,273,2017,442,0.6176470588235294
Modelo de Negócios,245,2017,442,0.5542986425339367
Indicações de Interface,107,2017,442,0.2420814479638009
Mural de equipa,23,2017,442,0.052036199095022634
Gestão de equipa,46,2017,442,0.10407239819004524
Gestão de projectos,176,2017,442,0.3981900452488688
Aspecto Visual,460,2018,870,0.5287356321839081
Navegação na Ferramenta,525,2018,870,0.603448275862069
Perguntas,235,2018,870,0.27011494252873564
Exemplos,362,2018,870,0.4160919540229885
Vídeos,407,2018,870,0.467816091954023
Modelo de Negócios,478,2018,870,0.5494252873563218
Indicações de Interface,206,2018,870,0.2367816091954023
Mural de equipa,38,2018,870,0.04367816091954023
Gestão de equipa,97,2018,870,0.11149425287356322
Gestão de projectos,296,2018,870,0.3402298850574713
