Estruturação da Dreamfactory;Estruturação da Dreamfactory;Em que medida os vídeos foram úteis ou pedagógicos?;Em que medida os exemplos foram úteis ou pedagógicos?
Satisfeito;está no seu formato ideal;5;3
Indiferente;está no seu formato ideal;1;4
Satisfeito;gostaria de mais perguntas intermédias;5;4
Satisfeito;gostaria de mais perguntas intermédias;5;4
Satisfeito;gostaria de mais perguntas intermédias;2;2
Satisfeito;tem perguntas a mais;3;3
Pouco satisfeito;gostaria de mais perguntas intermédias;3;3
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;3;3
Satisfeito;tem perguntas a mais;5;4
Pouco satisfeito;gostaria de mais perguntas intermédias;4;5
Muito satisfeito;está no seu formato ideal;3;5
Pouco satisfeito;gostaria de mais perguntas intermédias;3;3
Satisfeito;gostaria de mais perguntas intermédias;3;5
Satisfeito;está no seu formato ideal;4;4
Indiferente;está no seu formato ideal;5;5
Indiferente;gostaria de mais perguntas intermédias;4;4
Indiferente;está no seu formato ideal;3;4
Pouco satisfeito;está no seu formato ideal;Não sei/Não respondo;5
Satisfeito;está no seu formato ideal;3;4
Satisfeito;está no seu formato ideal;4;4
Satisfeito;está no seu formato ideal;3;3
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;3;4
Satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;está no seu formato ideal;5;5
Pouco satisfeito;tem perguntas a mais;5;5
Pouco satisfeito;está no seu formato ideal;Não sei/Não respondo;2
Satisfeito;está no seu formato ideal;4;4
Pouco satisfeito;está no seu formato ideal;4;4
Satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;gostaria de mais perguntas intermédias;3;3
Satisfeito;tem perguntas a mais;1;5
Satisfeito;gostaria de mais perguntas intermédias;5;4
Muito satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;gostaria de mais perguntas intermédias;5;5
Satisfeito;está no seu formato ideal;5;5
Satisfeito;gostaria de mais perguntas intermédias;4;5
Satisfeito;está no seu formato ideal;Não sei/Não respondo;3
Muito satisfeito;está no seu formato ideal;5;5
Satisfeito;gostaria de mais perguntas intermédias;3;3
Satisfeito;está no seu formato ideal;5;5
Satisfeito;gostaria de mais perguntas intermédias;4;4
Indiferente;está no seu formato ideal;5;5
Satisfeito;tem perguntas a mais;3;5
Satisfeito;está no seu formato ideal;2;3
Pouco satisfeito;tem perguntas a mais;3;4
Indiferente;tem perguntas a mais;5;4
Indiferente;tem perguntas a mais;3;5
Satisfeito;está no seu formato ideal;2;4
Indiferente;está no seu formato ideal;4;4
Muito satisfeito;gostaria de mais perguntas intermédias;5;4
Indiferente;está no seu formato ideal;3;1
Muito satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;gostaria de mais perguntas intermédias;4;5
Indiferente;está no seu formato ideal;5;5
Indiferente;está no seu formato ideal;3;4
Satisfeito;está no seu formato ideal;2;4
Satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;gostaria de mais perguntas intermédias;5;4
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;4;4
Muito satisfeito;está no seu formato ideal;2;3
Pouco satisfeito;está no seu formato ideal;4;4
Pouco satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;está no seu formato ideal;5;3
Satisfeito;está no seu formato ideal;1;5
Satisfeito;gostaria de mais perguntas intermédias;3;4
Satisfeito;está no seu formato ideal;4;4
Satisfeito;gostaria de mais perguntas intermédias;3;4
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;5;4
Satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;5;5
Pouco satisfeito;está no seu formato ideal;5;5
Pouco satisfeito;gostaria de mais perguntas intermédias;3;2
Satisfeito;tem perguntas a mais;4;4
Pouco satisfeito;tem perguntas a mais;4;4
Satisfeito;gostaria de mais perguntas intermédias;4;4
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;Não sei/Não respondo;Não sei/Não respondo
Pouco satisfeito;está no seu formato ideal;4;4
Pouco satisfeito;está no seu formato ideal;5;4
Satisfeito;está no seu formato ideal;5;3
Satisfeito;está no seu formato ideal;5;5
Satisfeito;está no seu formato ideal;5;5
Muito satisfeito;está no seu formato ideal;4;5
Satisfeito;gostaria de mais perguntas intermédias;5;3
Satisfeito;gostaria de mais perguntas intermédias;5;3
Satisfeito;está no seu formato ideal;5;5
